@relation camel-1.2.arff

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {-1,1}

@data
9,0,0,5,24,0,1,4,9,0,213,1,1,0,0.370370,0,0,22.555556,1,0.888900,-1
27,1,0,6,27,351,1,5,27,2,27,0,0,0,0.412037,0,0,0,1,1,1
9,1,0,3,18,30,1,2,8,0.375000,82,1,0,0,0.355556,0,0,8,1,0.777800,-1
7,1,0,27,50,7,3,27,3,0.805556,198,1,3,0,0.416667,0,0,26.428571,1,0.714300,-1
8,2,0,10,28,0,1,9,3,0.357143,224,1,3,0.684211,0.371429,1,1,26.500000,2,1,1
4,1,0,9,12,2,3,7,3,0.666667,52,1,3,0,0.400000,0,0,11.250000,1,0.750000,-1
4,0,0,10,17,2,1,9,3,0.666667,71,1,2,0,0.833333,0,0,16,1,0.500000,-1
2,1,0,2,5,1,1,1,1,2,22,0,0,0,0.500000,0,0,7,3,1.500000,1
18,1,0,116,18,153,116,0,18,2,18,0,0,0,0.666667,0,0,0,1,1,-1
9,1,0,3,20,12,2,1,7,0.625000,100,1,0,0,0.541667,0,0,9.777778,4,1.222200,-1
7,2,0,3,17,0,3,1,7,0.611111,66,1,0,0.333333,0.392857,0,0,8,2,1,-1
7,2,0,11,11,15,4,10,6,0.500000,44,1,0,0.772727,0.265306,0,0,5.142857,1,0.714300,1
13,2,0,12,37,42,4,9,13,0.611111,175,1,1,0.885714,0.276923,1,4,12.230769,3,1.153800,1
6,4,0,9,31,5,1,9,3,0.500000,143,0.500000,1,0.800000,0.305556,1,1,22.500000,1,0.833300,-1
20,2,1,16,74,68,2,15,11,0.864662,537,0.714286,3,0.419355,0.173684,1,1,25.150000,12,1.550000,1
2,4,6,8,7,0,6,2,2,1,23,1,1,0.944444,0.666667,0,0,9.500000,1,0.500000,1
6,3,0,8,15,15,2,6,6,2,42,0,0,0.971429,0.416667,2,3,6,1,0.500000,1
14,2,0,4,25,31,1,4,14,0.634615,140,1,0,0.885714,0.300000,1,4,8.714286,1,0.857100,1
2,5,0,2,6,0,1,1,2,1,22,1,0,0.944444,0.666667,0,0,9,1,0.500000,-1
7,2,0,7,25,0,1,6,5,0.166667,153,1,1,0.684211,0.357143,1,1,20.571429,4,1.285700,1
3,2,0,4,10,3,1,3,2,2,32,0,0,0.600000,0.666667,0,0,9.666667,1,0.666700,1
19,2,0,22,32,133,7,19,18,0.644444,174,1,2,0.485714,0.157895,1,1,7.894737,2,1,-1
20,1,0,2,21,190,1,1,20,2,50,0,0,0,0.487500,0,0,1.500000,1,0.900000,-1
8,1,0,7,32,28,0,7,4,2,237,0,0,0,0.625000,0,0,28.625000,11,3,1
5,1,3,4,6,6,3,1,3,0.750000,24,1,0,0,1,0,0,3.400000,1,0.800000,-1
6,2,0,5,16,7,1,5,2,0.700000,59,1,0,0.600000,0.360000,1,1,8.500000,2,0.833300,-1
3,2,0,1,5,3,0,1,3,2,12,0,0,0.923077,0.666667,1,2,3,1,0.333300,-1
19,1,15,32,38,139,21,11,16,0.822222,216,1,3,0,0.175439,1,1,10.105263,5,1.473700,1
0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,-1
19,1,1,7,35,137,1,6,16,0.857143,183,1,1,0,0.157895,0,0,8.263158,2,1,-1
6,1,0,6,7,15,1,5,6,2,14,0,0,0,0.361111,0,0,1.333333,1,0.833300,1
3,1,0,4,6,0,2,2,2,0.500000,33,1,1,0,0.666667,0,0,9,2,1,1
0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,-1
2,1,0,3,5,1,3,2,2,2,17,0,0,0,0.666667,0,0,7.500000,2,1,-1
14,1,0,6,18,61,2,5,14,0.830769,81,1,5,0,0.297619,0,0,4.428571,1,0.928600,-1
20,1,2,101,54,168,98,5,12,0.954887,352,0.285714,0,0,0.219298,0,0,16.250000,3,1.150000,-1
18,1,0,9,44,85,1,8,10,0.739496,242,1,3,0,0.205882,0,0,12.055556,5,1.388900,1
